,0
0,493.31774493705547
1,514.8736480569239
2,394.0847673782157
3,494.1819512862619
4,394.0847673782157
5,494.1819512862619
6,506.13711548987436
7,400.84779967159284
8,504.39730432402865
9,501.3714969896005
10,501.3714969896005
11,438.1956759715381
12,390.91530925013683
13,384.793973727422
14,511.0305145046525
15,376.67245210727964
16,489.9267597153805
17,375.20393814997254
18,409.4714559386973
19,501.3714969896005
20,392.5361220580187
21,505.1005199781063
22,506.13711548987436
23,489.9267597153805
24,509.4420005473456
25,501.3714969896005
26,504.69859058565976
27,501.3714969896005
28,393.6695457033388
29,391.3887411056377
30,392.5361220580187
31,506.13711548987436
32,384.793973727422
33,438.1956759715381
34,501.3714969896005
35,506.13711548987436
36,529.7089518336072
37,504.69859058565976
38,511.0305145046525
39,506.13711548987436
40,540.54626984127
41,400.84779967159284
42,375.20393814997254
43,537.9232813355229
44,394.0847673782157
45,501.3714969896005
46,392.5361220580187
47,375.20393814997254
48,506.13711548987436
49,511.0305145046525
50,393.6695457033388
51,373.3772304324027
52,511.0305145046525
53,390.91530925013683
54,489.9267597153805
55,474.53981937602623
56,650.8534099616861
57,392.5361220580187
58,393.6695457033388
59,374.0108675424192
60,540.54626984127
61,374.8032457580732
62,500.36740010946914
63,498.0039709906954
64,501.3714969896005
65,506.13711548987436
66,390.65668856048165
67,375.20393814997254
68,391.3887411056377
69,504.8191269841272
70,501.3714969896005
71,507.4964723590586
72,474.53981937602623
73,392.95326217843444
74,493.31774493705547
75,495.46261357416535
76,375.20393814997254
77,392.5361220580187
78,389.0185331143951
79,389.0185331143951
80,511.0305145046525
81,506.13711548987436
82,504.25935413245764
83,508.28925834701715
84,511.990487137384
85,376.67245210727964
86,376.67245210727964
87,400.84779967159284
88,540.54626984127
89,494.2682266009852
90,375.20393814997254
91,393.6695457033388
92,532.8595073891626
93,384.30887246852757
94,374.1959660645866
95,384.793973727422
96,392.5361220580187
97,501.3714969896005
98,509.4420005473456
99,390.91530925013683
100,501.3714969896005
101,373.3772304324027
102,373.3772304324027
103,501.3714969896005
104,511.0305145046525
105,392.5361220580187
106,376.789953475643
107,394.0847673782157
108,504.39730432402865
109,494.2682266009852
110,533.799584017515
111,506.13711548987436
112,508.28925834701715
113,390.91530925013683
114,391.3214395183361
115,384.793973727422
116,494.1819512862619
117,506.13711548987436
118,438.1956759715381
119,505.1005199781063
120,647.0139463601536
121,409.4714559386973
122,392.5361220580187
123,490.07806239737283
124,532.8595073891626
125,495.46261357416535
126,506.13711548987436
127,511.0305145046525
128,493.31774493705547
129,506.13711548987436
130,393.6695457033388
131,540.54626984127
132,400.84779967159284
133,422.4087629994526
134,409.4714559386973
135,375.20393814997254
136,391.2546770662288
137,375.20393814997254
138,438.1956759715381
139,504.8191269841272
140,511.0305145046525
141,501.3714969896005
142,501.3714969896005
143,375.20393814997254
144,400.84779967159284
145,392.5361220580187
146,384.30887246852757
147,507.4964723590586
148,505.1005199781063
149,375.20393814997254
150,518.9035522714835
151,400.84779967159284
152,647.0139463601536
153,392.5361220580187
154,390.91530925013683
155,501.3714969896005
156,506.13711548987436
157,393.6695457033388
158,508.28925834701715
159,511.990487137384
160,504.39730432402865
161,650.8534099616861
162,494.1819512862619
163,537.9232813355229
164,394.0847673782157
165,489.9267597153805
166,493.6838286808979
167,390.91530925013683
168,511.990487137384
169,376.789953475643
170,376.67245210727964
171,508.28925834701715
172,400.84779967159284
173,504.69859058565976
174,391.3887411056377
175,511.990487137384
176,511.0305145046525
177,375.20393814997254
178,409.4714559386973
179,438.1956759715381
180,390.91530925013683
181,509.4420005473456
182,493.31774493705547
183,504.39730432402865
184,438.1956759715381
185,422.4087629994526
186,511.990487137384
187,493.31774493705547
188,508.28925834701715
189,533.799584017515
190,650.8534099616861
191,509.4420005473456
192,501.3714969896005
193,376.789953475643
194,518.9035522714835
195,384.793973727422
196,390.91530925013683
197,507.4964723590586
198,506.13711548987436
199,501.3714969896005
200,390.7141598248495
201,474.53981937602623
